definition,category,category_zh,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D
餵,action_words,動作詞,30.226337448559672,25.612676056338028,22.31760435571688,8|36,30.11820525,25.939379166666665,21.760552,0.26330996333333334
喜歡,action_words,動作詞,30.52203389830509,25.42468619246862,21.64516129032258,8|36,29.666162166666666,26.09446,22.5227615,0.30805751666666664
寫,action_words,動作詞,32.108695652173914,26.20909090909091,20.67692307692308,8|36,30.524952166666665,26.298366583333333,22.071784166666667,0.26028676916666665
摸,action_words,動作詞,32.55434782608695,26.095634095634097,21,8|36,31.565318416666667,26.38544741666667,21.205577833333333,0.212409395
拉,action_words,動作詞,30.70063694267516,25.643848288621648,22.10086455331412,8|36,31.347304,26.59183175,21.836356916666666,0.231406365
搖,action_words,動作詞,32.20180436847104,25.863523573200993,21,8|36,31.833594916666666,26.596288833333332,21.358982583333333,0.21012510166666667
站,action_words,動作詞,30.4125,26.78728606356968,22.159817351598175,8|36,30.581963166666668,26.94880433333333,23.315646916666665,0.3028217458333333
說話,action_words,動作詞,32.21884654994851,26.85328836424958,22.6745182012848,8|36,31.078729833333334,26.990273083333335,22.901816666666665,0.2690750966666667
敲,action_words,動作詞,32.6985294117647,25.92676431424767,22,8|36,33.03963241666667,27.11838875,21.197145583333334,0.18585413166666667
罵,action_words,動作詞,32.3335201793722,27.35211267605634,21.897196261682243,8|36,31.275705333333335,27.266627,23.25754875,0.27443030333333335
聽,action_words,動作詞,32.785771704180064,27.352112676056336,22,8|36,32.19702291666667,27.423137916666665,22.64925275,0.2305084875
抓,action_words,動作詞,32.13171487603306,27.28957528957529,22.603448275862068,8|36,32.30822233333333,27.580809,22.8533955,0.23274418916666667
幫忙,action_words,動作詞,30.808163265306124,26.82634730538922,22.225806451612904,8|36,31.725899333333334,27.59027675,23.454656333333332,0.26600111083333333
掃地,action_words,動作詞,32.64655172413793,27.394736842105264,23.024012393493415,8|36,31.980474916666665,27.843041,23.70560516666667,0.26594154
煮,action_words,動作詞,34.30223880597015,25.880694143167027,23.294907666480135,8|36,32.48895875,27.86841391666667,23.247869833333333,0.238110015
放,action_words,動作詞,32.65226171243942,27.520833333333332,22.64814814814815,8|36,33.111647,28.073574666666666,23.035502583333333,0.21843084166666665
排(東西),action_words,動作詞,32.869795342272404,27,21.71794871794872,8|36,33.087449666666664,28.091529583333333,23.095606166666666,0.22028649333333333
叫,action_words,動作詞,32.6985294117647,27.7172131147541,23.31331747919144,8|36,33.0882235,28.21321175,23.338199,0.225737465
碰/撞,action_words,動作詞,32.74113048707156,27.520833333333332,23.269565217391303,8|36,32.759501416666666,28.21374691666667,23.667989,0.24203120583333335
停,action_words,動作詞,34.11208487084871,27.35211267605634,23.424657534246577,8|36,32.978639333333334,28.493921583333332,24.00920275,0.24533673916666668
打破,action_words,動作詞,32.83175505050505,27.325732899022803,24.24390243902439,8|36,32.52102858333333,28.526928166666668,24.532826916666668,0.27552549083333333
討厭,action_words,動作詞,32.93189368770764,28.2603550295858,25.059507523939807,8|36,33.395884,29.41862325,25.441361583333332,0.2767434575
推,action_words,動作詞,32.98640583554376,28.840764331210192,25.214285714285715,8|36,33.3692245,29.43823475,25.507245,0.2799452533333333
教我,action_words,動作詞,32.751862197392924,29.096509240246405,25.518220042046252,8|36,32.97254341666667,29.549293583333334,26.126042416666667,0.32154715083333335
踢,action_words,動作詞,34.25961538461539,29.365149833518313,24.515625,8|36,34.612414916666665,29.557033666666666,24.50165425,0.21767603166666666
倒,action_words,動作詞,40,27.8248730964467,23.570552147239265,8|36,34.387754,29.7138775,25.04000125,0.23548880166666666
按,action_words,動作詞,40,27.59171597633136,21.8,8|36,35.94235116666667,29.735425583333335,23.528498,0.17734234166666665
滑,action_words,動作詞,34.97024729520866,29.286004056795132,25.07685512367491,8|36,34.09887533333333,29.802964833333334,25.507054333333333,0.25622346166666665
想,action_words,動作詞,32.76704545454545,29,25.455762514551804,8|36,33.66180225,29.833930666666667,26.006060583333333,0.28755247083333335
搔癢,action_words,動作詞,32.953089244851256,28,25.103736089030207,8|36,35.36289375,29.932991083333334,24.5030895,0.2026953075
西瓜,food_drink,食物/飲料,27.23696682464455,23.37125748502994,19.571428571428573,8|36,27.60543725,24.084980416666667,20.56452575,0.31251457833333335
巧克力,food_drink,食物/飲料,27.844594594594593,24.380476556495005,20.904109589041095,8|36,27.825715916666667,24.748923583333333,21.67213025,0.3576081383333333
冰淇淋,food_drink,食物/飲料,28.46808510638298,24.726872246696036,21.52173913043478,8|36,28.5952915,25.216602083333335,21.837912166666666,0.3256154475
蔬菜,food_drink,食物/飲料,27.928792569659443,22,20.367892976588628,8|36,30.08665625,25.369927666666666,20.6532015,0.23326005166666666
紅(白)蘿蔔,food_drink,食物/飲料,32.13171487603306,23.71506105834464,20.16,8|36,30.196848666666668,25.71419716666667,21.231545583333332,0.24544645416666666
果汁,food_drink,食物/飲料,30.34494773519164,25.759825327510917,20.904109589041095,8|36,29.553143416666668,25.71815675,21.883170166666666,0.2868667
薯條,food_drink,食物/飲料,30.353211009174313,25,21,8|36,29.714145916666666,26.098506666666665,22.482866833333333,0.30428522333333335
糖,food_drink,食物/飲料,31.554054054054053,25.195725534308213,20.544891640866872,8|36,30.54054225,26.127906083333333,21.715269583333335,0.24932984416666668
芭樂,food_drink,食物/飲料,31.38317757009346,25.327375352775164,20.807339449541285,8|36,30.66949675,26.29821775,21.926938166666666,0.2517142975
水果,food_drink,食物/飲料,31,25.46317657497782,21.685714285714287,8|36,30.607238,26.531022,22.454803916666666,0.26993130083333333
蕃茄,food_drink,食物/飲料,31,27.325732899022803,21.466019417475728,8|36,30.914795416666667,26.769384666666667,22.623975666666666,0.26536028666666667
橘子,food_drink,食物/飲料,32.267857142857146,25,21.685714285714287,8|36,31.164972416666668,26.797993666666667,22.431014916666665,0.2519474225
柳丁,food_drink,食物/飲料,31.722921914357684,25,22.19774011299435,8|36,31.34335025,26.963057166666665,22.582764,0.251248795
茶,food_drink,食物/飲料,31,25.55163043478261,21.352941176470587,8|36,31.929774416666667,27.168047916666666,22.406322833333334,0.23107837833333333
稀飯,food_drink,食物/飲料,31.953488372093023,27,21.79245283018868,8|36,32.46793291666667,27.191099666666666,21.91426591666667,0.20854854583333332
水餃,food_drink,食物/飲料,31.788461538461537,26.592505854800937,22,8|36,30.9035365,27.217929083333335,23.53232,0.29854789416666666
葡萄乾,food_drink,食物/飲料,34.182432432432435,26.70408163265306,20.63583815028902,8|36,31.989157833333334,27.3009655,22.612771,0.2346663225
棒棒糖,food_drink,食物/飲料,32.47047970479705,27,22.10086455331412,8|36,31.72225875,27.680828916666666,23.6393995,0.2722726425
果凍,food_drink,食物/飲料,32.56205493387589,27,22.532994923857867,8|36,31.800009333333332,27.717710083333333,23.63541,0.26950044666666667
豆漿,food_drink,食物/飲料,32.335232252410165,27.3257328990228,22.897435897435894,8|36,31.88128225,27.73731375,23.593344166666668,0.26551193
飲料,food_drink,食物/飲料,32.61721991701245,27.325732899022803,22.74468085106383,8|36,32.5002935,27.969382583333335,23.438473416666668,0.24286243333333332
