definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
他的,people,人物,34.85031104199067,29,25.522696929238986,616,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|1|2|1|1|3|6|1|10|11|22|23|25|24|44|44|52|52|54|63|51|62|64,0|0|0|0|0|0|0|1|1|1|1|4|7|1|10|10|18|21|29|26|44|50|55|59|66|74|66|77|79,8|36
男生,people,人物,32.97945891783567,29.379032258064516,25.50581395348837,613,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|1|5|2|5|8|12|19|22|26|28|37|40|54|55|50|64|56|66|63,0|0|0|0|0|0|0|0|0|0|1|6|2|6|8|11|15|20|30|30|37|45|57|62|61|75|73|81|78,8|36
女生,people,人物,34.405,29.379032258064516,25.547434656340755,608,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|1|4|2|6|9|12|19|21|26|28|38|40|54|53|49|63|55|65|63,0|0|0|0|0|0|0|0|0|0|1|5|2|7|9|11|15|19|30|30|38|45|57|60|60|74|71|80|78,8|36
大家,people,人物,34.89136568848758,30,25.612676056338028,583,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|2|0|3|6|13|12|22|21|25|25|38|43|47|52|49|60|48|62|55,0|0|0|0|0|0|0|0|0|0|2|0|4|7|14|11|18|19|29|27|38|49|50|59|60|71|62|77|68,8|36
別人,people,人物,34.97024729520866,30,25.240331491712706,584,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|2|3|3|3|9|14|19|23|33|28|38|39|47|47|46|61|50|61|58,0|0|0|0|0|0|0|0|0|0|2|4|4|3|9|13|15|21|38|30|38|44|50|53|56|72|65|75|72,8|36
我們的,people,人物,34.97620519159456,30.483516483516485,26.480597014925372,510,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|2|2|1|0|6|6|16|12|20|25|34|31|42|49|40|58|48|61|56,0|0|0|0|0|0|0|0|0|1|2|2|1|0|6|6|13|11|23|27|34|35|45|56|49|68|62|75|69,8|36
朋友,people,人物,40,32.23903262092239,27.26595744680851,477,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|1|1|1|8|10|11|14|19|22|28|29|46|42|36|59|51|47|50,0|0|0|0|0|0|0|0|0|1|1|1|1|1|8|10|9|13|22|24|28|33|49|48|44|69|66|58|62,8|36
你們,people,人物,40,32.42983565107459,28,425,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|1|1|0|4|6|8|13|16|22|25|26|38|42|37|48|42|48|46,0|0|0|0|0|0|0|0|0|1|1|1|1|0|4|6|6|12|18|24|25|30|40|48|45|56|55|59|57,8|36
護士,people,人物,40,32.55434782608695,27.213675213675213,450,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|0|0|3|3|3|9|10|12|12|15|20|37|28|36|40|38|45|42|52|44,0|0|0|0|0|0|0|0|1|0|0|4|4|3|9|10|10|11|17|22|37|32|38|45|46|53|55|64|54,8|36
小姐,people,人物,40,32.64823641563394,28.127906976744185,441,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|0|4|1|3|9|14|19|17|20|21|24|28|34|38|33|47|38|45|45,0|0|0|0|0|0|0|0|0|1|0|5|1|3|9|13|15|15|23|23|24|32|36|43|40|55|49|56|56,8|36
