ID,item.WG,item.WS,definition,category,age.70,age.50,age.30,n,bin,age_distr,age_distr_prob
607,NA,a15_68,打破,action_words,32.5648132780083,27.35820895522388,25.006939799331104,705,24~30,0|0|0|0|0|0|0|0|0|2|2|7|6|9|15|24|29|32|36|39|56|50|56|55|45|65|53|67|57,0|0|0|0|0|0|0|0|0|2|2|9|7|10|16|24|24|30|43|45|58|61|67|66|59|78|74|85|77
302,d14_48,a15_49,碰/撞,action_words,32.530277777777776,27.471744471744472,25.065873015873017,744,24~30,1|0|1|2|0|1|3|8|7|3|3|7|10|10|15|25|34|31|37|39|53|45|58|56|44|67|54|66|64,1|0|1|3|0|1|4|8|4|4|4|9|12|11|16|25|29|29|45|45|55|55|70|67|58|81|75|84|86
307,d14_53,a15_54,按,action_words,34.77704918032787,27.52747252747253,25.31902961562697,707,24~30,0|1|1|3|1|4|10|11|6|9|7|10|9|11|27|27|32|26|35|37|54|40|48|50|41|53|45|57|52,0|1|1|4|1|5|13|11|4|11|9|12|11|13|29|27|27|24|42|43|56|49|58|60|54|64|62|72|70
304,d14_50,a15_51,叫,action_words,32.34009756097561,27.736196319018404,23.595,759,24~30,1|1|2|4|1|3|7|13|9|3|3|10|9|7|17|22|42|20|35|38|50|43|56|58|49|67|56|68|65,1|1|3|5|1|4|9|13|6|4|4|12|11|8|18|22|35|19|42|44|52|52|67|70|64|81|78|86|88
611,NA,a15_72,倒,action_words,34.68695652173913,27.828685258964143,25.399921011058453,637,24~30,0|0|0|0|0|0|0|0|0|3|4|8|3|11|20|24|30|26|32|30|51|37|51|50|45|57|45|58|52,0|0|0|0|0|0|0|0|0|4|5|10|4|13|21|24|25|24|39|35|53|45|61|60|59|69|62|73|70
617,NA,a15_78,捏,action_words,40,27.89929742388759,23.88943298969072,622,24~30,0|0|0|0|0|0|0|0|0|6|5|11|8|8|15|21|37|25|31|27|50|39|50|46|43|56|47|50|47,0|0|0|0|0|0|0|0|0|7|6|14|10|9|16|21|31|23|37|31|52|48|60|55|57|67|65|63|64
621,NA,a15_82,討厭,action_words,32.674600870827284,28,25.723955773955772,637,24~30,0|0|0|0|0|0|0|0|1|0|2|3|2|5|19|22|26|25|27|28|48|47|50|57|42|64|52|65|52,0|0|0|0|0|0|0|0|1|0|2|4|2|6|20|22|22|23|33|33|50|57|60|69|55|77|72|82|70
308,d14_54,a15_55,搔癢,action_words,32.80223048327137,28,25.436842105263157,657,24~30,0|3|0|2|1|3|5|11|8|8|1|10|7|7|11|19|28|25|32|34|48|37|51|50|35|63|46|60|52,0|4|0|3|1|4|7|11|5|10|1|12|9|8|12|19|24|23|39|40|50|45|61|60|46|76|64|76|70
615,NA,a15_76,想,action_words,32.49883138564274,28.630769230769232,25.986031331592688,603,24~30,0|0|0|0|0|0|0|0|0|0|2|3|7|3|10|12|25|23|25|34|44|43|47|46|46|66|50|61|56,0|0|0|0|0|0|0|0|0|0|2|4|9|3|11|12|21|21|30|40|46|52|57|55|61|80|69|77|76
613,NA,a15_74,推,action_words,32.731119133574005,28.836734693877553,25.694848206071757,625,24~30,0|0|0|0|0|0|0|0|0|3|0|6|5|7|14|17|26|23|28|32|42|42|48|52|41|63|54|63|59,0|0|0|0|0|0|0|0|0|4|0|8|6|8|15|17|22|21|34|37|44|51|58|63|54|76|75|80|80
620,NA,a15_81,滑,action_words,34.50205607476636,29.09628770301624,25.352874251497006,615,24~30,0|0|0|0|0|0|0|0|0|3|2|4|8|7|14|16|27|25|35|30|44|40|51|51|40|58|47|59|54,0|0|0|0|0|0|0|0|0|4|2|5|10|8|15|16|23|23|42|35|46|49|61|61|53|70|65|75|73
616,NA,a15_77,教我,action_words,32.30669745958429,29.149684400360684,25.90232365145228,604,24~30,0|0|0|0|0|0|0|0|0|0|0|1|0|4|10|12|23|19|26|31|44|39|53|51|50|66|52|65|58,0|0|0|0|0|0|0|0|0|0|0|1|0|5|11|12|19|18|31|36|46|48|64|61|66|80|72|82|78
301,d14_47,a15_48,踢,action_words,32.82124898621249,29.272667542706966,25.50639880952381,667,24~30,0|0|1|3|0|3|5|10|8|2|0|11|8|7|14|20|28|28|28|32|47|36|55|47|41|61|54|61|57,0|0|1|4|0|4|7|10|5|2|0|14|10|8|15|20|24|26|34|37|49|44|66|57|54|73|75|77|77
618,NA,a15_79,撕,action_words,34.89433962264151,29.454616588419405,26.29769230769231,579,24~30,0|0|0|0|0|0|0|0|0|1|1|5|8|6|11|21|27|19|24|28|45|34|50|49|36|57|45|56|56,0|0|0|0|0|0|0|0|0|1|1|6|10|7|12|21|23|18|29|33|47|41|60|59|47|69|62|71|76
610,NA,a15_71,忘記,action_words,32.57131931166348,29.515848353014295,25.856053811659194,549,24~30,0|0|0|0|0|0|0|0|0|0|1|2|3|2|7|14|14|16|27|30|35|31|51|42|46|64|49|59|56,0|0|0|0|0|0|0|0|0|0|1|2|4|2|7|14|12|15|33|35|36|38|61|51|61|77|68|75|76
614,NA,a15_75,蹲,action_words,34.56612377850163,29.5547201336675,25.735275339185954,586,24~30,0|0|0|0|0|0|0|0|0|0|3|9|7|6|14|17|30|21|28|29|42|33|48|44|40|56|46|59|54,0|0|0|0|0|0|0|0|0|0|4|11|9|7|15|17|25|20|34|34|44|40|58|53|53|67|64|75|73
632,NA,a15_93,聞,action_words,40,29.62353923205342,25.88671799807507,527,24~30,0|0|0|0|0|0|0|0|0|0|1|3|5|7|10|15|15|21|26|19|37|32|47|45|37|58|43|55|51,0|0|0|0|0|0|0|0|0|0|1|4|6|8|11|15|13|20|31|22|39|39|57|54|49|70|60|70|69
627,NA,a15_88,告訴,action_words,32.92524590163934,29.669354838709676,27.510825688073396,519,24~30,0|0|0|0|0|0|0|0|0|0|0|0|4|2|6|10|14|12|23|20|35|36|44|47|43|59|51|61|52,0|0|0|0|0|0|0|0|0|0|0|0|5|2|6|10|12|11|28|23|36|44|53|57|57|71|71|77|70
612,NA,a15_73,綁,action_words,34.580129589632826,29.71216848673947,26.71461318051576,549,24~30,0|0|0|0|0|0|0|0|0|1|0|4|2|5|13|21|21|19|22|27|42|30|46|46|40|55|47|58|50,0|0|0|0|0|0|0|0|0|1|0|5|2|6|14|21|18|18|27|31|44|37|55|55|53|66|65|73|68
606,NA,a15_67,帶,action_words,35.11326530612244,29.72967032967033,26.225655976676386,541,24~30,0|0|0|0|0|0|0|0|0|0|0|4|1|2|13|14|22|13|24|29|38|37|43|48|40|57|47|55|54,0|0|0|0|0|0|0|0|0|0|0|5|1|2|14|14|18|12|29|34|40|45|52|58|53|69|65|70|73
623,NA,a15_84,裝,action_words,35.58421052631578,29.760833333333334,25.82873475609756,534,24~30,0|0|0|0|0|0|0|0|0|0|0|5|6|5|12|12|15|19|27|29|35|30|45|50|36|53|48|55|52,0|0|0|0|0|0|0|0|0|0|0|6|7|6|13|12|13|18|33|34|36|37|54|60|47|64|67|70|70
628,NA,a15_89,夾,action_words,34.85849710982659,29.784663865546218,26.274621848739496,555,24~30,0|0|0|0|0|0|0|0|0|2|1|6|5|9|14|13|25|24|23|31|41|32|44|45|39|55|41|57|48,0|0|0|0|0|0|0|0|0|2|1|8|6|10|15|13|21|22|28|36|43|39|53|54|51|66|57|72|65
631,NA,a15_92,吞,action_words,40,29.840342679127726,27.315570934256055,513,24~30,0|0|0|0|0|0|0|0|0|1|0|5|2|6|7|13|19|16|24|22|38|28|44|45|37|57|45|53|51,0|0|0|0|0|0|0|0|0|1|0|6|2|7|7|13|16|15|29|26|40|34|53|54|49|69|62|67|69
624,NA,a15_85,藏,action_words,32.94514835605453,29.87093389296957,25.773982483256052,521,24~30,0|0|0|0|0|0|0|0|0|0|0|3|1|4|10|8|18|14|29|27|38|31|43|47|39|59|49|50|51,0|0|0|0|0|0|0|0|0|0|0|4|1|5|11|8|15|13|35|31|40|38|52|57|51|71|68|63|69
